../dataset/economics/1384367161_claritin_october_twitter_side_effects-1.csv
CART,din
41.5519525066,8510
44.279413926,1321
../dataset/economics/Airline-Sentiment-2-w-AA.csv
CART,din
61.9612378036,15214
59.9239845053,2599
../dataset/economics/apple-twitter-sentiment-dfe.csv
CART,din
../dataset/economics/Coachella-2015-2-DFE.csv
CART,din
48.1157219973,6973
51.7477507872,923
../dataset/economics/Deflategate-DFE.csv
CART,din
44.0153795852,22049
43.9115375282,2479
../dataset/economics/GOP_REL_ONLY.csv
CART,din
58.2289346471,18577
56.7831582854,2497
../dataset/economics/New-years-resolutions-DFE.csv
CART,din
7.49785368018,9616
9.77557190008,1577
../dataset/economics/progressive-tweet-sentiment.csv
CART,din
47.377955378,4638
40.4723609724,725
../dataset/economics/us-economic-newspaper.csv
CART,din
29.9681503467,17865
33.2712829205,3582
../dataset/economics/text_emotion.csv
CART,din
../dataset/economics/FinalizedFull.csv
CART,din
39.0707070707,3772
45.0707070707,550
